MlsNumber,PostalCode,Price,PropertyType,Address,Longitude,Latitude,BuildingType,Bathrooms,Bedrooms,Stories,Size,RealEstateCompany,ElectoralDiv,FullBedrooms,OtherRooms,HouseNumber,NumSum,LotArea
N4655051,L4E0E3,969000,Single Family,"#28 -484 WORTHINGTON AVE|Richmond Hill, Ontario L4E0E3",-79.44289609999998,43.9653301,House,3.0,3,2.0,48.23 x 98.1 FT,RE/MAX HALLMARK REALTY LTD.,Aurora--Oak Ridges--Richmond Hill,3,0,,,4731.362999999999
N4654834,L4A1C8,869000,Single Family,"71 FAIRVIEW AVE|Whitchurch-Stouffville, Ontario L4A1C8",-79.2572064,43.9711995,House,2.0,3 + 1,1.0,60 x 133 FT,LIVING REALTY INC.,Markham--Stouffville,3,1,71.0,8.0,7980.0
N4654108,L4G2L2,2950000,Single Family,"8 DODIE ST|Aurora, Ontario L4G2L2",-79.4727802,43.9918355,House,5.0,4 + 1,2.0,100 x 230 FT,RE/MAX HALLMARK YORK GROUP REALTY LTD.,Aurora--Oak Ridges--Richmond Hill,4,1,8.0,8.0,23000.0
N4653276,L4S2R2,1080000,Single Family,"3 MOCHA CRES|Richmond Hill, Ontario L4S2R2",-79.438193,43.90849620000001,House,3.0,4,2.0,39.37 x 109.91 FT,BAY STREET GROUP INC.,Aurora--Oak Ridges--Richmond Hill,4,0,3.0,3.0,4327.1567
N4653259,L4G3X5,3400000,Single Family,"336 TOUCH GOLD CRES|Aurora, Ontario L4G3X5",-79.424268968867,44.00791465847939,House,6.0,4,2.0,60.04 x 150.98 FT,RE/MAX HALLMARK REALTY LTD.,Aurora--Oak Ridges--Richmond Hill,4,0,336.0,3.0,9064.839199999999
N4653136,L4G1A1,688000,Single Family,"22 DUNNING AVE|Aurora, Ontario L4G1A1",-79.4635548,43.9910852,House,1.0,3,1.5,55 x 135 FT,CENTURY 21 HERITAGE GROUP LTD.,Aurora--Oak Ridges--Richmond Hill,3,0,22.0,4.0,7425.0
N4653075,L4E4R9,2498000,Single Family,"419 PARADELLE DR|Richmond Hill, Ontario L4E4R9",-79.4365005,43.9653085,House,5.0,4 + 1,2.0,59.74 x 190.03 FT,RE/MAX HALLMARK REALTY LTD.,Aurora--Oak Ridges--Richmond Hill,4,1,419.0,5.0,11352.3922
N4652937,L4G6R4,875000,Single Family,"60 DAWLISH AVE|Aurora, Ontario L4G6R4",-79.47838259999997,43.968515999999994,House,4.0,4,2.0,10.48 x 35.72 M,SUTTON GROUP QUANTUM REALTY INC.,Aurora--Oak Ridges--Richmond Hill,4,0,60.0,6.0,374.3456
N4652723,L4A7X5,2688000,Single Family,|,-79.3102475,43.9742132,House,4.0,4 + 2,1.0,200 x 1350 Acre ; 12.86 Acres,MASTER'S TRUST REALTY INC.,Markham--Stouffville,4,2,,,58806000.0
N4652205,L4E3P4,1350000,Single Family,"210 STOUFFVILLE RD|Richmond Hill, Ontario L4E3P4",-79.44417259999999,43.9285919,House,4.0,4 + 1,2.0,125 x 646.5 FT|1/2 - 1.99 acres,CITYSCAPE REAL ESTATE LTD.,Aurora--Oak Ridges--Richmond Hill,4,1,210.0,3.0,80812.5
N4627219,L4S0H1,2199000,Single Family,"7 SEAGAR ST|Richmond Hill, Ontario L4S0H1",-79.3900632,43.9049902,House,4.0,4,2.0,42.98 x 90.22 FT,RE/MAX COMMUNITY REALTY INC.,Aurora--Oak Ridges--Richmond Hill,4,0,7.0,7.0,3877.6555999999996
