MlsNumber,PostalCode,Price,PropertyType,Address,Longitude,Latitude,BuildingType,Bathrooms,Bedrooms,Stories,Size,RealEstateCompany,FullBedrooms,OtherRooms,LotArea,ElectoralDiv
N4591351,L4E3E2,995000.0,Single Family,"88 MORAY AVE|Richmond Hill, Ontario L4E3E2",-79.4346321,43.9559787,House,1.0,2 + 2,1.5,42 x 150 FT,ALLIANCE REALTY INC.,2.0,2,6300.0,Aurora--Oak Ridges--Richmond Hill
N4591321,L7B1A3,999000.0,Single Family,"2520 LLOYDTOWN-AURORA RD|King, Ontario L7B1A3",-79.5557929,44.0004645,House,3.0,4,2.0,88.94 x 122.34 FT   ; 588.99 X 122.34 X 533.09 X 67.73 X 31.14|1/2 - 1.99 acres,RE/MAX WEST REALTY INC.,4.0,0,10880.9196,King--Vaughan
N4591307,L4G0W6,1358000.0,Single Family,"10 BOLAND CRT|Aurora, Ontario L4G0W6",-79.4311262,44.0234395,House,4.0,5,2.0,42.98 x 90.22 FT,MAIN STREET REALTY LTD.,5.0,0,3877.6556,Newmarket--Aurora
N4591287,L4G2A6,999000.0,Single Family,"29 PATRICK DR|Aurora, Ontario L4G2A6",-79.47293140000002,43.9807153,House,4.0,4 + 1,2.0,"49 x 138 FT ; 49 Front, 93Back, 117N, 138S Pie-Shaped",ROYAL LEPAGE YOUR COMMUNITY REALTY,4.0,1,6762.0,Aurora--Oak Ridges--Richmond Hill
N4591283,L4G0Y5,1600000.0,Single Family,"68 BABER CRES|Aurora, Ontario L4G0Y5",-79.43992829999998,44.028757,House,4.0,4,2.0,"46.1 x 139.49 FT ; Pie Shaped Lot-118Ft East, 99.25Ft North",CENTURY 21 ATRIA WH REALTY INC.,4.0,0,6430.489000000001,Newmarket--Aurora
N4591205,L4E0R3,1299900.0,Single Family,"3 BRIGHTSIDE  AVE|Richmond Hill, Ontario L4E0R3",-79.46709709999998,43.916628100000004,House,10.0,4 + 1,2.5,40.3 x 90 FT ; Y,HOMELIFE LANDMARK REALTY INC.,4.0,1,3627.0,Aurora--Oak Ridges--Richmond Hill
N4591185,L4E3Y2,999900.0,Single Family,"65 CANOE CRT|Richmond Hill, Ontario L4E3Y2",-79.44821329999998,43.94662460000001,House,4.0,4,2.0,44.65 x 107.94 FT,ROYAL LEPAGE YOUR COMMUNITY REALTY,4.0,0,4819.521,Aurora--Oak Ridges--Richmond Hill
N4591052,L4A2P3,1398880.0,Single Family,"2140 ST. JOHN'S SDRD|Whitchurch-Stouffville, Ontario L4A2P3",-79.4030076,44.033569299999996,House,5.0,5 + 1,1.0,150 x 564 FT ; 1.94 Acres,KELLER WILLIAMS ADVANTAGE REALTY,5.0,1,84600.0,Markham--Stouffville
N4590962,L4A8B7,858800.0,Single Family,"38 SANDALE RD|Whitchurch-Stouffville, Ontario L4A8B7",-79.2713222,43.96710529999999,House,5.0,4 + 2,2.0,46.26 x 148.61 FT,RE/MAX ROUGE RIVER REALTY LTD.,4.0,2,6874.6986000000015,Markham--Stouffville
30742502,L4E0A8,1799000.0,Single Family,"60 LAKE FOREST Drive|Richmond Hill, Ontario L4E0A8",-79.461171,43.920913,House,5.0,5,2.0,under 1/2 acre,ROYAL LEPAGE REALTY PLUS MOURAD HANNA,5.0,0,21780.0,Aurora--Oak Ridges--Richmond Hill
